;Unnamed: 0;Bauteilbreite;Bauteilgewicht;Bauteillaenge;DOE_Simulation;Fuellprobleme;Kuehlzeit;Legobaustein;Max_Deformation;Max_Verzug;Max_Volumenschwindung;Nachdruck;Nachdruckzeit;Schmelzetemperatur;Testlauf;Volumenstrom;Wandtemperatur;Laenge;Breite;Hoehe;Volumen;Schussvolumen;Mittlere_Wanddicke;Max_Wanddicke;Min_Wanddicke;Fliessweglaenge;Oberflaeche;Ration_Oberflaeche_Volumen;Fliesswegwanddickenverhaeltnis;Ration_Min_Wanddicke_Max_Wanddicke;theoretische_Kuehlzeit;Plastifizierleistung;PACYNA1;PACYNA2;PACYNA3;Haupttraegheitsmomente1;Haupttraegheitsmomente2;Haupttraegheitsmomente3;N_Noppen_Reihe;N_Reihen;Sockelhoehe;Noppenhoehe
0;0;29.47485167;15.028;89.09204064;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.498888731;0.1133815274;12.63234329;350;9.5;240;1;219.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
1;1;29.46606873;15.024;89.09217504;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.4981191158;0.1172009856;12.67323971;350;9.5;240;2;79.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
2;2;29.69630897;15.233;89.30830489;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.3798730671;0.123076193;11.03583336;600;9.5;240;3;149.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
3;3;29.12590893;14.756;88.90581295;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.6263307929;0.2654205859;15.94674587;100;9.5;240;4;149.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
4;4;29.47592815;15.021;89.08774193;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.5410183668;0.114819102;14.4837513;350;9.5;260;5;149.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
5;5;29.46313012;15.024;89.09435124;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.4920265079;0.1189659163;11.53572273;350;9.5;220;6;149.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
6;6;29.51603862;14.989;88.8946777;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.6087144613;0.1012426093;13.5186967799999;350;9.5;240;7;149.8483;60;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
7;7;29.41135627;15.061;89.31210787;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.3893254399;0.1858074516;12.22309113;350;9.5;240;8;149.8483;20;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
8;8;29.47267426;15.028;89.09564446;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.4904009402;0.1143635809;14.83072758;350;16.0;240;9;149.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
9;9;28.95484255;14.591;88.70163965;DOE2,txt;0.0;24.0;3x1_Lego_flach;0.8028778434;0.3498320282;14.40227509;350;3.0;240;10;149.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
10;10;29.46176369;15.027;89.1088189;DOE2,txt;0.0;31.989;3x1_Lego_flach;0.4911205769;0.1238766387;12.62959003;350;9.5;240;11;149.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
11;11;29.51334278;15.027;89.03761734;DOE2,txt;0.0;16.011;3x1_Lego_flach;0.5247506499;0.1147009134;12.62959003;350;9.5;240;12;149.8483;40;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
12;12;29.21457727;14.842;89.0601624;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.6003012061;0.2471131086;14.51795483;173;4.9;226;1;100.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
13;13;29.22373981;14.843;89.05240396;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.6057027578;0.2423325479;14.53411865;173;4.9;226;2;199.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
14;14;29.62824294;15.177;89.31608687;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.4241153598;0.1249150261;11.52359009;527;4.9;226;3;100.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
15;15;29.63053529;15.177;89.31043347;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.4300826788;0.12501885;11.6038599;527;4.9;226;4;199.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
16;16;29.16630459;14.77;88.85284438;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.7324630022;0.2674008906;16.21931648;173;4.9;254;5;100.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
17;17;29.16774279;14.766;88.83364832;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.7405334115;0.2675540745;16.21905136;173;4.9;254;6;199.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
18;18;29.59684854;15.115;89.16913919;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.5434002876;0.1729478091;13.38346672;527;4.9;254;7;100.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
19;19;29.59786893;15.114;89.15942218;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.5468646288;0.1755362451;13.28324699;527;4.9;254;8;199.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
20;20;29.27587878;14.763;88.67137206;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.7930572629;0.1562020034;14.62734509;173;4.9;226;9;100.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
21;21;29.27980216;14.762;88.65779952;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.8008342981;0.1606725156;14.63271618;173;4.9;226;10;199.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
22;22;29.65912002;15.115;89.03350291;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.5709552169;0.1187139452;11.86214066;527;4.9;226;11;100.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
23;23;29.65868906;15.114;89.0255308;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.5780800581;0.1205026209;11.96790504;527;4.9;226;12;199.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
24;24;29.15941609;14.648;88.41344497;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.9382746816;0.2797831297;16.61532211;173;4.9;254;13;100.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
25;25;29.15996273;14.643;88.40510408;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.940956533;0.2811132073;16.54710388;173;4.9;254;14;199.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
26;26;29.59396692;15.02;88.84613527;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.7017511129;0.1875206381;13.58997917;527;4.9;254;15;100.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
27;27;29.5952595;15.015;88.83521244;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.7055056095;0.1885649264;13.54375172;527;4.9;254;16;199.3483;54;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
28;28;29.21214333;14.867;89.08360053;DOE1,txt;0.0;18.3;3x1_Lego_flach;0.5171579719;0.248876214;16.18575287;173;14.1;226;17;100.3483;26;90;30;29.5;17228.7939999999;17228.7939999999;1.946934248;4.0;2.0;74.0;17698.383;1.027;38.00847413;0.5;25.55653642;529.196158199999;1.122733675;0.34651849;0.664930902;2.781;13.238;13.8909999999999;3;1;11.5;18
